Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F
8,Antigua and Barbuda,463,"Vegetables, fresh nes",5419,Yield,hg/ha,60000,Fc,57716,Fc,57778,Fc,50000,Fc,52000,Fc,48896,Fc,46696,Fc,44486,Fc,42264,Fc,40029,Fc,37785,Fc,35538,Fc,33333,Fc,31058,Fc,29537,Fc
8,Antigua and Barbuda,463,"Vegetables, fresh nes",5510,Production,tonnes,240,F,234,Im,260,F,240,F,260,F,232,Im,229,Im,226,Im,222,Im,218,Im,215,Im,212,Im,160,F,206,Im,205,Im
8,Antigua and Barbuda,137,Yams,5312,Area harvested,ha,15,F,15,F,16,F,18,F,20,F,23,Im,24,Im,26,Im,28,Im,30,Im,33,Im,35,Im,40,F,39,Im,40,Im
8,Antigua and Barbuda,137,Yams,5419,Yield,hg/ha,36755,Fc,36667,Fc,36250,Fc,35556,Fc,35000,Fc,34984,Fc,34676,Fc,34384,Fc,34126,Fc,33835,Fc,33545,Fc,33254,Fc,31250,Fc,32586,Fc,33003,Fc
8,Antigua and Barbuda,137,Yams,5510,Production,tonnes,55,Im,55,F,58,F,64,F,70,F,79,Im,85,Im,91,Im,97,Im,103,Im,109,Im,115,Im,125,F,128,Im,132,Im
8,Antigua and Barbuda,1817,Cereals (Rice Milled Eqv),5312,Area harvested,ha,30,A,31,A,32,A,35,A,38,A,38,A,40,A,41,A,42,A,42,A,40,A,45,A,44,A,45,A,46,A
8,Antigua and Barbuda,1817,Cereals (Rice Milled Eqv),5419,Yield,hg/ha,16000,Fc,16126,Fc,15625,Fc,15714,Fc,15789,Fc,15957,Fc,16250,Fc,15998,Fc,16190,Fc,15903,Fc,15871,Fc,15966,Fc,15954,Fc,15942,Fc,15931,Fc
8,Antigua and Barbuda,1817,Cereals (Rice Milled Eqv),5510,Production,tonnes,48,A,51,A,50,A,55,A,60,A,61,A,65,A,65,A,68,A,66,A,63,A,72,A,70,A,72,A,74,A
8,Antigua and Barbuda,1717,"Cereals,Total",5312,Area harvested,ha,30,A,31,A,32,A,35,A,38,A,38,A,40,A,41,A,42,A,42,A,40,A,45,A,44,A,45,A,46,A
8,Antigua and Barbuda,1717,"Cereals,Total",5419,Yield,hg/ha,16000,Fc,16126,Fc,15625,Fc,15714,Fc,15789,Fc,15957,Fc,16250,Fc,15998,Fc,16190,Fc,15903,Fc,15871,Fc,15966,Fc,15954,Fc,15942,Fc,15931,Fc
8,Antigua and Barbuda,1717,"Cereals,Total",5510,Production,tonnes,48,A,51,A,50,A,55,A,60,A,61,A,65,A,65,A,68,A,66,A,63,A,72,A,70,A,72,A,74,A
8,Antigua and Barbuda,1804,"Citrus Fruit,Total",5312,Area harvested,ha,60,A,61,A,65,A,70,A,75,A,52,A,78,A,80,A,81,A,83,A,90,A,88,A,88,A,90,A,91,A
8,Antigua and Barbuda,1804,"Citrus Fruit,Total",5419,Yield,hg/ha,37400,Fc,37652,Fc,38462,Fc,37857,Fc,38000,Fc,38462,Fc,38462,Fc,38125,Fc,40160,Fc,41332,Fc,42347,Fc,43386,Fc,47727,Fc,45395,Fc,44980,Fc
8,Antigua and Barbuda,1804,"Citrus Fruit,Total",5510,Production,tonnes,225,A,230,A,250,A,265,A,285,A,200,A,300,A,305,A,324,A,343,A,381,A,383,A,420,A,408,A,409,A
8,Antigua and Barbuda,1814,"Coarse Grain, Total",5312,Area harvested,ha,30,A,31,A,32,A,35,A,38,A,38,A,40,A,41,A,42,A,42,A,40,A,45,A,44,A,45,A,46,A
8,Antigua and Barbuda,1814,"Coarse Grain, Total",5419,Yield,hg/ha,16000,Fc,16126,Fc,15625,Fc,15714,Fc,15789,Fc,15957,Fc,16250,Fc,15998,Fc,16190,Fc,15903,Fc,15871,Fc,15966,Fc,15954,Fc,15942,Fc,15931,Fc
8,Antigua and Barbuda,1814,"Coarse Grain, Total",5510,Production,tonnes,48,A,51,A,50,A,55,A,60,A,61,A,65,A,65,A,68,A,66,A,63,A,72,A,70,A,72,A,74,A
8,Antigua and Barbuda,1753,Fibre Crops Primary,5312,Area harvested,ha,600,A,600,A,650,A,700,A,700,A,700,A,700,A,700,A,700,A,700,A,700,A,700,A,560,A,565,A,570,A
8,Antigua and Barbuda,1753,Fibre Crops Primary,5419,Yield,hg/ha,400,Fc,443,Fc,431,Fc,429,Fc,429,Fc,429,Fc,429,Fc,429,Fc,429,Fc,429,Fc,429,Fc,429,Fc,536,Fc,531,Fc,561,Fc
8,Antigua and Barbuda,1753,Fibre Crops Primary,5510,Production,tonnes,24,A,27,A,28,A,30,A,30,A,30,A,30,A,30,A,30,A,30,A,30,A,30,A,30,A,30,A,32,A
8,Antigua and Barbuda,1801,"Fruit excl Melons,Total",5312,Area harvested,ha,1330,A,1309,A,1354,A,1377,A,1405,A,1004,A,1084,A,1190,A,1250,A,1294,A,1363,A,1366,A,1414,A,1374,A,1356,A
8,Antigua and Barbuda,1801,"Fruit excl Melons,Total",5419,Yield,hg/ha,71607,Fc,71834,Fc,72096,Fc,71423,Fc,71495,Fc,70476,Fc,71068,Fc,70824,Fc,70711,Fc,69812,Fc,67713,Fc,67872,Fc,63727,Fc,66319,Fc,68072,Fc
8,Antigua and Barbuda,1801,"Fruit excl Melons,Total",5510,Production,tonnes,9525,A,9404,A,9765,A,9835,A,10045,A,7076,A,7703,A,8427,A,8839,A,9031,A,9232,A,9272,A,9009,A,9110,A,9230,A
8,Antigua and Barbuda,1841,Oilcakes Equivalent,5312,Area harvested,ha,600,A,600,A,650,A,700,A,700,A,700,A,700,A,700,A,700,A,700,A,700,A,700,A,560,A,565,A,570,A
8,Antigua and Barbuda,1841,Oilcakes Equivalent,5419,Yield,hg/ha,468,Fc,493,Fc,479,Fc,459,Fc,459,Fc,459,Fc,459,Fc,437,Fc,459,Fc,459,Fc,474,Fc,474,Fc,592,Fc,587,Fc,644,Fc
8,Antigua and Barbuda,1841,Oilcakes Equivalent,5510,Production,tonnes,28,A,30,A,31,A,32,A,32,A,32,A,32,A,31,A,32,A,32,A,33,A,33,A,33,A,33,A,37,A
8,Antigua and Barbuda,1841,Oilcakes Equivalent,5525,Seed,tonnes,9,A,10,A,11,A,11,A,11,A,11,A,11,A,11,A,11,A,11,A,11,A,11,A,11,A,11,A,,
8,Antigua and Barbuda,1732,Oilcrops Primary,5312,Area harvested,ha,600,A,600,A,650,A,700,A,700,A,700,A,700,A,700,A,700,A,700,A,700,A,700,A,560,A,565,A,570,A
8,Antigua and Barbuda,1732,Oilcrops Primary,5419,Yield,hg/ha,147,Fc,155,Fc,150,Fc,144,Fc,144,Fc,144,Fc,144,Fc,137,Fc,144,Fc,144,Fc,149,Fc,149,Fc,186,Fc,184,Fc,202,Fc
8,Antigua and Barbuda,1732,Oilcrops Primary,5510,Production,tonnes,9,A,9,A,10,A,10,A,10,A,10,A,10,A,10,A,10,A,10,A,10,A,10,A,10,A,10,A,12,A
8,Antigua and Barbuda,1732,Oilcrops Primary,5525,Seed,tonnes,3,A,3,A,3,A,3,A,3,A,3,A,3,A,3,A,3,A,3,A,3,A,3,A,3,A,3,A,,
8,Antigua and Barbuda,1720,"Roots and Tubers,Total",5312,Area harvested,ha,58,A,57,A,65,A,73,A,85,A,89,A,96,A,100,A,104,A,106,A,108,A,110,A,110,A,115,A,119,A
8,Antigua and Barbuda,1720,"Roots and Tubers,Total",5419,Yield,hg/ha,48074,Fc,47855,Fc,47846,Fc,46027,Fc,45882,Fc,47667,Fc,47784,Fc,48342,Fc,48888,Fc,48577,Fc,48493,Fc,48405,Fc,49091,Fc,48208,Fc,48180,Fc
8,Antigua and Barbuda,1720,"Roots and Tubers,Total",5510,Production,tonnes,279,A,275,A,311,A,336,A,390,A,423,A,458,A,481,A,510,A,514,A,522,A,531,A,540,A,556,A,574,A
8,Antigua and Barbuda,1735,Vegetables Primary,5312,Area harvested,ha,367,A,375,A,399,A,426,A,453,A,448,A,460,A,466,A,475,A,478,A,478,A,495,A,497,A,521,A,525,A
8,Antigua and Barbuda,1735,Vegetables Primary,5419,Yield,hg/ha,70862,Fc,70562,Fc,70346,Fc,69366,Fc,69426,Fc,69292,Fc,68646,Fc,68495,Fc,67541,Fc,67420,Fc,67280,Fc,66583,Fc,66137,Fc,65362,Fc,65801,Fc
8,Antigua and Barbuda,1735,Vegetables Primary,5510,Production,tonnes,2601,A,2647,A,2806,A,2955,A,3145,A,3102,A,3156,A,3193,A,3207,A,3221,A,3217,A,3295,A,3287,A,3404,A,3457,A
8,Antigua and Barbuda,1800,"Vegetables&Melons, Total",5312,Area harvested,ha,367,A,375,A,399,A,426,A,453,A,448,A,460,A,466,A,475,A,478,A,478,A,495,A,497,A,521,A,525,A
8,Antigua and Barbuda,1800,"Vegetables&Melons, Total",5419,Yield,hg/ha,70862,Fc,70562,Fc,70346,Fc,69366,Fc,69426,Fc,69292,Fc,68646,Fc,68495,Fc,67541,Fc,67420,Fc,67280,Fc,66583,Fc,66137,Fc,65362,Fc,65801,Fc
8,Antigua and Barbuda,1800,"Vegetables&Melons, Total",5510,Production,tonnes,2601,A,2647,A,2806,A,2955,A,3145,A,3102,A,3156,A,3193,A,3207,A,3221,A,3217,A,3295,A,3287,A,3404,A,3457,A
